data,ricoverati_con_sintomi
2021-12-15T17:00:00Z,121
2021-12-15T17:00:00Z,25
2021-12-15T17:00:00Z,202
2021-12-15T17:00:00Z,395
2021-12-15T17:00:00Z,999
2021-12-15T17:00:00Z,297
2021-12-15T17:00:00Z,826
2021-12-15T17:00:00Z,300
2021-12-15T17:00:00Z,1189
2021-12-15T17:00:00Z,141
2021-12-15T17:00:00Z,8
2021-12-15T17:00:00Z,89
2021-12-15T17:00:00Z,96
2021-12-15T17:00:00Z,613
2021-12-15T17:00:00Z,131
2021-12-15T17:00:00Z,109
2021-12-15T17:00:00Z,449
2021-12-15T17:00:00Z,323
2021-12-15T17:00:00Z,48
2021-12-15T17:00:00Z,19
2021-12-15T17:00:00Z,929
